"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
86,1,15,2,300,10,13,99,99,99,999,1014.4,-12.1,4,999,99
86,1,15,3,320,11,13,99,99,99,999,1014.8,-12.4,4,999,99
86,1,15,4,310,8,11,99,99,99,999,1015.3,-12.9,4.2,999,99
86,1,15,5,300,9,99,99,99,99,999,1015.6,-13.8,4.2,999,99
86,1,15,6,310,11,14,99,99,99,999,1016.1,-14.6,4.2,999,99
86,1,15,7,310,10,14,99,99,99,999,1016.9,-15.3,4.3,999,99
86,1,15,8,310,10,13,99,99,99,999,1017.5,-16.1,4.3,999,99
86,1,15,9,310,12,16,99,99,99,999,1018.1,-16.3,4.2,999,99
86,1,15,10,300,9,13,99,99,99,999,1019.1,-16.3,4.3,999,99
86,1,15,11,300,11,15,99,99,99,999,1020,-16.1,4.3,999,99
86,1,15,12,310,11,14,99,99,99,999,1020.6,-16.2,4.2,999,99
86,1,15,13,300,10,15,99,99,99,999,1021.9,-16.4,4.2,999,99
86,1,15,14,280,11,15,99,99,99,999,1023.7,-16.4,4.2,999,99
86,1,15,15,310,11,14,99,99,99,999,1023.2,-15.1,4,999,99
