Month-Year,Farm Operator,Product Name,EPA Reg. No.,Total Used (Gallons),Total Used (Pounds),A.I. (1) Name,A.I. (1) Pounds,A.I. (2) Name,A.I. (2) Pounds,A.I. (3) Name,A.I. (3) Pounds,Total area applied to ,Field area applied to
04/01/2014 12:00:00 AM,BASF Plant Science,Lorsban Advanced,62719-591,1.68,,chlorpyrifos:0-0 diethyl-0-(3.5.6-trichloro-2-pyridinyl)phosphorothioate 40.18%,6.29,,,,,6.7,4.2
04/01/2014 12:00:00 AM,Kaua'i Coffee Co. LLC,Gramoxone SL 2.0,100-1431,21.5,,Paraquat dichloride,43,,,,,63,63
04/01/2014 12:00:00 AM,Syngenta,Aatrex Nine-O,100-585,,166.28,Atrazine,146.33,,,,,166.28,166.28
04/01/2014 12:00:00 AM,Syngenta,Asana XL,352-515,1.12,,Esfenvalerate,0.74,,,,,15.92,15.42
04/01/2014 12:00:00 AM,Syngenta,Gramoxone SL 2.0,100-1431,2,,Paraquat dicloride,4,,,,,8,8
04/01/2014 12:00:00 AM,Syngenta,Lannate,352-384,5.93,,Methomyl,14.23,,,,,31.64,31.64
04/01/2014 12:00:00 AM,Syngenta,Lorsban,62719-591,16.85,,Chlorpyrifos,63.27,,,,,67.4,51.34
04/01/2014 12:00:00 AM,Syngenta,Lumax EZ ,100-1442,103.34,,S-metolachlor,257.32,Atrazine,96.62,Mesotrione,25.73,137.78,137.78
04/01/2014 12:00:00 AM,Syngenta,Mustang,279-3126,3.76,,S-Cyano Methyl,5.64,,,,,160.44,145.04
04/01/2014 12:00:00 AM,Syngenta,Voliam Xpress,100-1320,2.01,,Chlorantraniliprole,1.68,Lambda-cyhalothrin,0.84,,,28.6,28.6
04/01/2014 12:00:00 AM,Syngenta,Warrior II,100-1295,2.37,,Lambda-cyhalothrin,4.93,,,,,178.42,166.72
04/01/2014 12:00:00 AM,Dow AgroSciences,Asana XL,352-515,0.4,,Estenvalerate,0.3,,,,,5.8,5.8
04/01/2014 12:00:00 AM,Dow AgroSciences,Atrazine 4L,66222-36,6,,Atrazine,24,,,,,12,12
04/01/2014 12:00:00 AM,Dow AgroSciences,Baythroid XL,264-840,0.3,,Beta-cyfluthrin,0.3,,,,,15.5,15.5
04/01/2014 12:00:00 AM,Dow AgroSciences,Cobalt Advanced,62719-615,1.7,,Chlorpyrifos,4.2,Lambda-cyhalothrin,0.2,,,6.1,6.1
04/01/2014 12:00:00 AM,Dow AgroSciences,Coragen,352-729,0.6,,Chlorantraniliprole,0.9,,,,,14.3,10
04/01/2014 12:00:00 AM,Dow AgroSciences,Dual II Magnum,100-818,1.9,,S-metochlor,14.3,,,,,7.5,7.5
04/01/2014 12:00:00 AM,Dow AgroSciences,Gramoxone 2.0 SL,100-1431,12.4,,Paraquat dichloride,24.9,,,,,59.5,59.5
04/01/2014 12:00:00 AM,Dow AgroSciences,Intrro,524-314,8.9,,Alachlor,35.5,,,,,14.2,14.2
04/01/2014 12:00:00 AM,Dow AgroSciences,Lorsban Advanced,62719-591,1.3,,Chlorpyrifos,4.7,,,,,5,5
04/01/2014 12:00:00 AM,Dow AgroSciences,Permethrin,34704-873,0.6,,Permethrin,1.9,,,,,9.4,9.4
04/01/2014 12:00:00 AM,DuPont Pioneer,Atrazine 4L,66222-36,0.133,,Atrazine,0.53,,,,,0.53,0.53
04/01/2014 12:00:00 AM,DuPont Pioneer,Baythroid XL,264-840,0.464,,Beta-cyfluthrin,0.464,,,,,23.77,23.77
04/01/2014 12:00:00 AM,DuPont Pioneer,Dual II Magnum,100-818,10.84,,S-metolachlor,82.79,,,,,67.82,67.82
04/01/2014 12:00:00 AM,DuPont Pioneer,Gramoxone SL 2.0,100-1431,4.125,,Paraquat dichloride,8.25,,,,,22,22
04/01/2014 12:00:00 AM,DuPont Pioneer,Mustang Max,279-3249,0.0118,,Zeta-cypermethrin,0.00944,,,,,0.5,0.5
04/01/2014 12:00:00 AM,DuPont Pioneer,Permethrin,34704-873,2.96,,Permethrin,9.461,,,,,63.07,63.07
04/01/2014 12:00:00 AM,DuPont Pioneer,Coragen,352-729,0.229,,Chlorantraniliprole,0.383,,,,,5.86,5.86
04/01/2014 12:00:00 AM,DuPont Pioneer,Force 3G,100-1075-5481,,33.82,Tefluthrin,1.015,,,,,8.87,8.87
04/01/2014 12:00:00 AM,DuPont Pioneer,Intrro,524-314,3.178,,Alachlor,12.711,,,,,5.08,5.08
